TripId,TrainCategory,TrainId,FromStation,ToStation,Departure,Arrival,Demand,Distance,Composition
2,L,6,AR/86,VJ/86,254,304,54,82.8,1xICA
3,L,6,VJ/86,FA/86,306,321,58,25.7,1xICA
4,L,6,FA/86,CPH/86,327,452,246,230.2,1xEB4DD
7,L,10,AR/86,VJ/86,320,364,153,82.8,2xICA
8,L,10,VJ/86,FA/86,366,381,203,25.7,2xICA
9,L,10,FA/86,CPH/86,387,512,614,230.2,3xERF
12,L,11,OD/86,FA/86,303,334,10,60.3,1xERF
13,L,11,FA/86,VJ/86,338,351,15,25.7,1xICA
14,L,11,VJ/86,AR/86,353,398,69,82.8,1xICA
17,L,14,AR/86,VJ/86,380,424,413,82.8,4xICA
18,L,14,VJ/86,FA/86,426,441,462,25.7,4xICA
19,L,14,FA/86,CPH/86,447,572,663,230.2,3xERF
22,L,15,OD/86,FA/86,366,394,92,60.3,1xMGA
23,L,15,FA/86,VJ/86,396,409,126,25.7,1xMGA
24,L,15,VJ/86,AR/86,411,455,182,82.8,1xMGA
27,L,18,AR/86,VJ/86,440,484,485,82.8,4xICA
28,L,18,VJ/86,FA/86,486,501,467,25.7,4xICA
29,L,18,FA/86,CPH/86,507,632,492,230.2,1xEB15Talgo
32,L,19,CPH/86,FA/86,326,454,332,230.2,1xEB15Talgo
33,L,19,FA/86,VJ/86,458,471,300,25.7,2xICA
34,L,19,VJ/86,AR/86,473,518,232,82.8,2xICA
37,L,22,AR/86,VJ/86,500,544,280,82.8,2xICA
38,L,22,VJ/86,FA/86,546,561,268,25.7,2xICA
39,L,22,FA/86,CPH/86,567,692,337,230.2,1xEB4DD
42,L,23,CPH/86,FA/86,386,514,414,230.2,1xEB4DD
43,L,23,FA/86,VJ/86,518,531,253,25.7,2xICA
44,L,23,VJ/86,AR/86,533,578,226,82.8,2xICA
47,L,26,AR/86,VJ/86,560,604,226,82.8,2xICA
48,L,26,VJ/86,FA/86,606,621,257,25.7,2xICA
49,L,26,FA/86,CPH/86,627,752,373,230.2,1xEB4DD
52,L,27,CPH/86,FA/86,446,574,482,230.2,1xEB5DD
53,L,27,FA/86,VJ/86,578,591,231,25.7,2xICA
54,L,27,VJ/86,AR/86,593,638,195,82.8,2xICA
57,L,30,AR/86,VJ/86,620,664,253,82.8,2xICA
58,L,30,VJ/86,FA/86,666,681,278,25.7,2xICA
59,L,30,FA/86,CPH/86,687,812,333,230.2,1xEB15Talgo
62,L,31,CPH/86,FA/86,506,634,350,230.2,1xEB4DD
63,L,31,FA/86,VJ/86,638,651,227,25.7,2xICA
64,L,31,VJ/86,AR/86,653,698,218,82.8,2xICA
67,L,34,AR/86,VJ/86,680,724,226,82.8,2xICA
68,L,34,VJ/86,FA/86,726,741,248,25.7,2xICA
69,L,34,FA/86,CPH/86,747,872,348,230.2,1xEB4DD
72,L,35,CPH/86,FA/86,566,694,237,230.2,2xERF
73,L,35,FA/86,VJ/86,698,711,160,25.7,3xICA
74,L,35,VJ/86,AR/86,713,758,146,82.8,2xICA
77,L,38,AR/86,VJ/86,740,784,221,82.8,2xICA
78,L,38,VJ/86,FA/86,786,801,229,25.7,2xICA
79,L,38,FA/86,CPH/86,807,932,388,230.2,2xERF
82,L,39,CPH/86,FA/86,626,754,322,230.2,1xEB15Talgo
83,L,39,FA/86,VJ/86,758,771,295,25.7,2xICA
84,L,39,VJ/86,AR/86,773,818,263,82.8,2xICA
87,L,42,AR/86,VJ/86,800,844,267,82.8,2xICA
88,L,42,VJ/86,FA/86,846,861,298,25.7,2xICA
89,L,42,FA/86,CPH/86,867,992,419,230.2,1xEB15Talgo
92,L,43,CPH/86,FA/86,686,814,324,230.2,1xEB15Talgo
93,L,43,FA/86,VJ/86,818,831,278,25.7,2xICA
94,L,43,VJ/86,AR/86,833,878,261,82.8,2xICA
