TrainCategory,TrainId,FromStation,DepartureFromStation,ToStation,ArrivalToStation,Demand,Distance_KM,Electrified,GGVId
L,10,Start,320,AR/86,320,0,0.0,true,10_910
L,10,AR/86,320,VJ/86,364,153,82.8,false,10_910
L,10,VJ/86,366,FA/86,381,203,25.7,false,10_910
L,10,FA/86,387,CPH/86,512,614,230.2,true,10_910
L,10,CPH/86,512,End,512,0,0.0,true,10_910
IC,100,Start,249,OD/86,249,0,0.0,true,-1
IC,100,OD/86,249,KK/86,361,141,163.4,true,-1
IC,100,KK/86,361,End,361,0,0.0,true,-1
IC,104,Start,296,FA/86,296,0,0.0,true,-1
IC,104,FA/86,296,KK/86,439,319,223.7,true,-1
IC,104,KK/86,439,End,439,0,0.0,true,-1
IC,112,Start,416,FA/86,416,0,0.0,true,112_2312_412
IC,112,FA/86,416,HGL/86,565,391,225.8,true,112_2312_412
IC,112,HGL/86,565,End,565,0,0.0,true,112_2312_412
IC,116,Start,476,FA/86,476,0,0.0,true,116_2316_4116_416
IC,116,FA/86,476,HGL/86,625,169,225.8,true,116_2316_4116_416
IC,116,HGL/86,625,End,625,0,0.0,true,116_2316_4116_416
EX,1191,Start,322,KH/86,322,0,0.0,true,-1
EX,1191,KH/86,322,PA/86,477,58,321.6,true,-1
EX,1191,PA/86,482,HMB/80,604,0,184.5,true,-1
EX,1191,HMB/80,604,End,604,0,0.0,true,-1
EX,1196,Start,712,HMB/80,712,0,0.0,true,-1
EX,1196,HMB/80,712,PA/86,833,0,184.5,true,-1
EX,1196,PA/86,843,KH/86,998,149,321.6,true,-1
EX,1196,KH/86,998,End,998,0,0.0,true,-1
EX,1198,Start,410,HMB/80,410,0,0.0,true,-1
EX,1198,HMB/80,410,PA/86,534,0,184.5,true,-1
EX,1198,PA/86,543,KH/86,698,68,321.6,true,-1
EX,1198,KH/86,698,End,698,0,0.0,true,-1
EX,1199,Start,1102,KH/86,1102,0,0.0,true,-1
EX,1199,KH/86,1102,PA/86,1257,158,321.6,true,-1
EX,1199,PA/86,1262,HMB/80,1384,0,184.5,true,-1
EX,1199,HMB/80,1384,End,1384,0,0.0,true,-1
L,11_4011,Start,303,OD/86,303,0,0.0,true,11_4011_911
