TrainCategory,TrainId,FromStation,DepartureFromStation,ToStation,ArrivalToStation,Demand,Distance_KM,Electrified,OriginTrainId
L,6,AR/86,254,VJ/86,304,54,82.8,false,6
L,6,VJ/86,306,FA/86,321,58,25.7,false,6
L,6,FA/86,327,CPH/86,452,246,230.2,true,6
L,910_10,FA/86,387,CPH/86,512,614,230.2,true,10
L,11,OD/86,303,FA/86,334,10,60.3,true,11
L,11,FA/86,338,VJ/86,351,15,25.7,false,11
L,11,VJ/86,353,AR/86,398,69,82.8,false,11
L,4014_14,AR/86,380,VJ/86,424,413,82.8,false,14
L,4014_14,VJ/86,426,FA/86,441,462,25.7,false,14
L,4014_14,FA/86,447,CPH/86,572,663,230.2,true,14
L,15_4015,OD/86,366,FA/86,394,92,60.3,true,15
L,15_4015,FA/86,396,VJ/86,409,126,25.7,false,15
L,15_4015,VJ/86,411,AR/86,455,182,82.8,false,15
L,18,AR/86,440,VJ/86,484,485,82.8,false,18
L,18,VJ/86,486,FA/86,501,467,25.7,false,18
L,18,FA/86,507,CPH/86,632,492,230.2,true,18
L,19,CPH/86,326,FA/86,454,332,230.2,true,19
L,19,FA/86,458,VJ/86,471,300,25.7,false,19
L,19,VJ/86,473,AR/86,518,232,82.8,false,19
L,22,AR/86,500,VJ/86,544,280,82.8,false,22
L,22,VJ/86,546,FA/86,561,268,25.7,false,22
L,22,FA/86,567,CPH/86,692,337,230.2,true,22
L,23,CPH/86,386,FA/86,514,414,230.2,true,23
L,23,FA/86,518,VJ/86,531,253,25.7,false,23
L,23,VJ/86,533,AR/86,578,226,82.8,false,23
L,26,AR/86,560,VJ/86,604,226,82.8,false,26
L,26,VJ/86,606,FA/86,621,257,25.7,false,26
L,26,FA/86,627,CPH/86,752,373,230.2,true,26
L,27,CPH/86,446,FA/86,574,482,230.2,true,27
L,27,FA/86,578,VJ/86,591,231,25.7,false,27
L,27,VJ/86,593,AR/86,638,195,82.8,false,27
L,4030_30,AR/86,620,VJ/86,664,253,82.8,false,30
L,4030_30,VJ/86,666,FA/86,681,278,25.7,false,30
L,4030_30,FA/86,687,CPH/86,812,333,230.2,true,30
L,31,CPH/86,506,FA/86,634,350,230.2,true,31
L,31,FA/86,638,VJ/86,651,227,25.7,false,31
L,31,VJ/86,653,AR/86,698,218,82.8,false,31
L,34,AR/86,680,VJ/86,724,226,82.8,false,34
L,34,VJ/86,726,FA/86,741,248,25.7,false,34
L,34,FA/86,747,CPH/86,872,348,230.2,true,34
L,35,CPH/86,566,FA/86,694,237,230.2,true,35
L,35,FA/86,698,VJ/86,711,160,25.7,false,35
L,35,VJ/86,713,AR/86,758,146,82.8,false,35
L,38,AR/86,740,VJ/86,784,221,82.8,false,38
L,38,VJ/86,786,FA/86,801,229,25.7,false,38
L,38,FA/86,807,CPH/86,932,388,230.2,true,38
L,39_4039,CPH/86,626,FA/86,754,322,230.2,true,39
L,39_4039,FA/86,758,VJ/86,771,295,25.7,false,39
L,39_4039,VJ/86,773,AR/86,818,263,82.8,false,39
L,42,AR/86,800,VJ/86,844,267,82.8,false,42
L,42,VJ/86,846,FA/86,861,298,25.7,false,42
L,42,FA/86,867,CPH/86,992,419,230.2,true,42
L,43,CPH/86,686,FA/86,814,324,230.2,true,43
L,43,FA/86,818,VJ/86,831,278,25.7,false,43
L,43,VJ/86,833,AR/86,878,261,82.8,false,43
L,46,AR/86,860,VJ/86,904,247,82.8,false,46
L,46,VJ/86,906,FA/86,921,264,25.7,false,46
L,46,FA/86,927,CPH/86,1052,409,230.2,true,46
L,47,CPH/86,746,FA/86,874,365,230.2,true,47
L,47,FA/86,878,VJ/86,891,383,25.7,false,47
L,47,VJ/86,893,AR/86,938,305,82.8,false,47
L,50,AR/86,920,VJ/86,964,306,82.8,false,50
L,50,VJ/86,966,FA/86,981,360,25.7,false,50
L,50,FA/86,987,CPH/86,1112,494,230.2,true,50
L,51,CPH/86,806,FA/86,934,386,230.2,true,51
L,51,FA/86,938,VJ/86,951,322,25.7,false,51
L,51,VJ/86,953,AR/86,998,298,82.8,false,51
L,4054_54,AR/86,980,VJ/86,1024,340,82.8,false,54
L,4054_54,VJ/86,1026,FA/86,1041,385,25.7,false,54
L,4054_54,FA/86,1047,CPH/86,1172,393,230.2,true,54
L,55_4055,CPH/86,866,FA/86,994,441,230.2,true,55
L,55_4055,FA/86,998,VJ/86,1011,379,25.7,false,55
L,55_4055,VJ/86,1013,AR/86,1058,330,82.8,false,55
L,58,AR/86,1040,VJ/86,1084,251,82.8,false,58
L,58,VJ/86,1086,FA/86,1101,280,25.7,false,58
L,58,FA/86,1107,CPH/86,1232,309,230.2,true,58
L,59,CPH/86,926,FA/86,1054,653,230.2,true,59
L,59,FA/86,1058,VJ/86,1071,407,25.7,false,59
L,59,VJ/86,1073,AR/86,1118,355,82.8,false,59
L,62,AR/86,1100,VJ/86,1144,147,82.8,false,62
L,62,VJ/86,1146,FA/86,1161,139,25.7,false,62
L,62,FA/86,1167,CPH/86,1292,205,230.2,true,62
L,63,CPH/86,986,FA/86,1114,589,230.2,true,63
L,63,FA/86,1118,VJ/86,1131,364,25.7,false,63
L,63,VJ/86,1133,AR/86,1178,337,82.8,false,63
L,66,AR/86,1160,VJ/86,1204,106,82.8,false,66
L,66,VJ/86,1206,FA/86,1221,119,25.7,false,66
L,66,FA/86,1227,CPH/86,1352,182,230.2,true,66
L,67,CPH/86,1047,FA/86,1174,380,230.2,true,67
L,67,FA/86,1178,VJ/86,1191,270,25.7,false,67
L,67,VJ/86,1193,AR/86,1238,233,82.8,false,67
L,4070_70,AR/86,1220,VJ/86,1264,183,82.8,false,70
L,4070_70,VJ/86,1266,FA/86,1281,173,25.7,false,70
L,4070_70,FA/86,1287,CPH/86,1412,170,230.2,true,70
L,71,CPH/86,1106,FA/86,1234,232,230.2,true,71
L,71,FA/86,1238,VJ/86,1251,208,25.7,false,71
L,71,VJ/86,1253,AR/86,1298,205,82.8,false,71
L,4074_74,AR/86,1280,VJ/86,1324,38,82.8,false,74
L,4074_74,VJ/86,1326,FA/86,1341,15,25.7,false,74
L,75_975,CPH/86,1166,FA/86,1294,248,230.2,true,75
L,79,CPH/86,1226,FA/86,1354,308,230.2,true,79
L,79,FA/86,1358,VJ/86,1371,116,25.7,false,79
L,79,VJ/86,1373,AR/86,1418,115,82.8,false,79
IC,100,OD/86,249,KK/86,361,141,163.4,true,100
IC,101,KH/86,35,FA/86,177,115,220.6,true,101
IC,101,FA/86,183,AR/86,248,69,108.5,false,101
IC,104,FA/86,296,KK/86,439,319,223.7,true,104
IC,107,KH/86,155,FA/86,295,53,220.6,true,107
IC,107,FA/86,305,AR/86,365,96,108.5,false,107
IC,412_112,FA/86,416,HGL/86,565,391,225.8,true,112
IC,113,KH/86,230,FA/86,362,49,220.6,true,113
IC,416_116,FA/86,476,HGL/86,625,169,225.8,true,116
IC,117,KH/86,290,FA/86,422,107,220.6,true,117
IC,4120_120,AR/86,470,FA/86,531,254,108.5,false,120
IC,4120_120,FA/86,536,KK/86,679,146,223.7,true,120
IC,121_421,KH/86,350,FA/86,482,212,220.6,true,121
IC,424_124,FA/86,596,KH/86,730,135,220.6,true,124
IC,125_4125,KK/86,401,FA/86,542,305,223.7,true,125
IC,125_4125,FA/86,549,AR/86,608,115,108.5,false,125
IC,428_128,FA/86,656,KK/86,799,125,223.7,true,128
IC,129_429,KK/86,461,FA/86,602,252,223.7,true,129
IC,432_132,FA/86,716,HGL/86,869,165,225.8,true,132
IC,133_433,HGL/86,515,FA/86,662,151,225.8,true,133
IC,4136_136,AR/86,710,FA/86,771,103,108.5,false,136
IC,4136_136,FA/86,776,HGL/86,929,250,225.8,true,136
IC,137_437,KH/86,590,FA/86,722,85,220.6,true,137
IC,440_140,FA/86,836,KK/86,979,236,223.7,true,140
IC,141_4141,KH/86,650,FA/86,782,121,220.6,true,141
IC,141_4141,FA/86,789,AR/86,848,111,108.5,false,141
IC,444_144,FA/86,896,HGL/86,1049,262,225.8,true,144
IC,145_445,KK/86,701,FA/86,842,123,223.7,true,145
IC,448_148,FA/86,956,KK/86,1099,187,223.7,true,148
IC,149_449,KK/86,761,FA/86,902,141,223.7,true,149
IC,4152_152,AR/86,950,FA/86,1011,149,108.5,false,152
IC,4152_152,FA/86,1016,KH/86,1150,145,220.6,true,152
IC,153_453,KK/86,821,FA/86,962,241,223.7,true,153
IC,456_156,FA/86,1076,KK/86,1219,85,223.7,true,156
IC,157_4157,HGL/86,874,FA/86,1022,465,225.8,true,157
IC,157_4157,FA/86,1029,AR/86,1088,151,108.5,false,157
IC,460_160,FA/86,1136,KH/86,1270,80,220.6,true,160
IC,161_461,HGL/86,934,FA/86,1082,519,225.8,true,161
IC,464_164,FA/86,1196,KH/86,1330,92,220.6,true,164
IC,165_465,KK/86,1001,FA/86,1142,395,223.7,true,165
IC,468_168,FA/86,1256,KH/86,1390,58,220.6,true,168
IC,474_172,FA/86,1316,KH/86,1450,61,220.6,true,172
IC,173_471,KK/86,1121,FA/86,1262,130,223.7,true,173
IC,4176_176,AR/86,1310,FA/86,1371,82,108.5,false,176
IC,4176_176,FA/86,1376,KH/86,1510,68,220.6,true,176
IC,177_477,HGL/86,1174,FA/86,1322,125,225.8,true,177
IC,181_2376,KH/86,1250,FA/86,1382,166,220.6,true,181
IC,4180_182,AR/86,1370,FA/86,1431,53,108.5,false,182
IC,4180_182,FA/86,1436,KH/86,1585,84,220.6,true,182
IC,1485_185,KH/86,1310,OD/86,1408,163,160.3,true,185
IC,190_1490,AR/86,40,FA/86,111,35,108.5,false,190
IC,190_1490,FA/86,116,KH/86,265,151,220.6,true,190
IC,1489_191,KH/86,1370,FA/86,1502,340,220.6,true,191
IC,1489_191,FA/86,1508,AR/86,1578,170,108.5,false,191
IC,1493_193,KH/86,1430,OD/86,1528,213,160.3,true,193
RØ,200,RO/86,320,CPH/86,354,60,37.9,true,200
